words,links,capital_words,spam_word_count,is_spam
456,7,24,9,1
273,4,6,8,1
282,0,5,6,0
300,5,3,6,1
773,7,1,4,1
56,2,2,1,0
375,3,3,3,1
269,2,3,2,0
253,3,18,7,1
251,3,4,2,0
97,0,3,0,0
416,3,5,8,1
491,1,10,3,0
989,10,6,2,1
175,5,6,9,1
198,9,6,10,1
148,8,4,8,1
778,3,10,3,1
314,2,8,0,0
614,0,16,5,1
133,0,1,0,0
763,6,1,3,1
85,6,4,3,1
82,3,26,9,1
490,3,30,1,1
133,2,1,0,1
129,0,3,6,0
253,0,2,5,0
133,0,20,6,1
574,4,27,8,1
238,1,6,2,0
145,1,5,5,0
332,7,5,6,1
280,2,3,2,0
30,4,1,1,0
173,1,2,1,0
356,2,1,8,1
178,1,1,1,0
985,3,10,3,1
953,8,14,3,1
247,1,7,6,1
126,2,1,2,0
97,2,2,2,0
503,10,13,3,1
171,1,7,0,0
86,5,27,8,1
867,1,3,4,1
197,9,6,3,1
405,7,17,8,1
209,3,0,0,0
302,2,2,2,0
65,3,2,7,1
237,0,7,2,0
601,5,14,0,1
70,5,13,6,1
257,3,1,1,0
298,0,1,1,0
897,7,4,10,1
68,8,2,8,1
131,0,3,2,0
279,5,2,2,0
174,4,0,1,0
760,10,9,7,1
39,0,4,0,0
135,5,3,0,0
223,1,3,1,0
152,2,1,6,0
138,0,4,1,0
200,0,6,10,1
703,9,27,3,1
156,3,9,5,1
184,9,28,7,1
769,10,3,5,1
532,9,15,10,1
304,3,25,8,1
290,0,9,3,0
553,3,9,10,1
297,2,13,7,1
242,1,1,4,0
52,10,2,2,1
840,7,24,5,1
297,1,3,2,0
458,2,2,2,0
187,4,9,5,1
501,7,7,5,1
967,3,28,3,1
236,1,19,3,1
607,9,11,1,1
55,2,1,0,0
49,0,2,4,0
84,2,1,2,0
338,8,7,8,1
300,0,1,1,0
177,0,0,0,0
245,4,16,0,1
231,1,2,6,0
253,2,3,2,0
131,0,10,4,1
521,4,14,8,1
155,2,17,5,1
60,1,2,2,0
515,3,2,3,1
95,5,3,7,1
157,2,2,8,1
505,10,3,6,1
300,0,1,1,0
735,10,29,1,1
841,2,28,8,1
203,0,10,2,0
182,2,15,8,1
178,2,18,5,1
888,2,8,5,1
122,8,12,8,1
167,3,4,4,1
182,2,5,4,0
791,2,30,1,1
345,3,3,1,0
217,2,1,1,0
719,9,2,8,1
574,7,0,10,1
126,4,3,1,0
39,2,3,2,0
337,1,4,3,1
988,3,14,4,1
510,2,30,7,1
277,3,0,1,0
171,1,2,0,0
84,2,2,2,0
112,3,12,3,1
440,3,25,0,1
442,3,28,10,1
188,7,10,7,1
216,2,3,2,0
868,9,14,5,1
35,2,3,2,0
76,3,19,7,1
79,0,2,0,0
260,0,0,0,0
277,1,6,4,1
166,1,2,0,0
720,5,9,3,1
101,1,2,2,0
192,7,17,9,1
649,6,2,0,1
877,9,20,5,1
283,1,1,1,0
898,10,25,3,1
129,1,3,4,0
138,7,28,4,1
888,8,5,6,1
102,2,0,2,0
127,9,2,7,1
82,4,5,3,1
638,6,21,1,1
21,0,1,1,0
846,3,16,5,1
765,4,6,10,1
230,1,2,2,0
102,2,5,10,1
59,0,2,1,0
944,2,7,10,1
57,2,0,4,0
431,1,18,10,1
179,2,10,0,0
43,1,1,0,0
57,0,1,1,0
906,2,2,2,1
640,3,16,2,1
169,0,2,1,0
64,1,5,2,0
88,9,27,6,1
53,2,0,2,0
136,0,1,2,0
160,0,3,2,0
177,2,3,0,0
69,3,29,3,1
543,5,2,5,1
262,2,2,2,0
427,0,29,4,1
754,2,12,5,1
283,4,26,6,1
107,6,14,3,1
429,1,2,2,0
83,1,0,0,0
170,2,11,10,1
471,2,9,6,1
430,8,16,3,1
846,0,4,4,1
81,2,1,2,0
48,2,9,1,0
601,8,5,9,1
182,2,9,10,1
351,2,23,0,1
670,2,16,2,1
291,4,1,10,1
951,8,8,6,1
48,3,2,0,0
766,10,11,10,1
777,3,28,3,1
206,1,1,0,0
309,2,26,7,1
421,2,3,0,0
154,2,1,2,0
340,0,2,2,0
64,1,2,2,0
875,2,21,7,1
705,9,23,9,1
80,2,3,0,0
133,1,2,2,0
90,2,1,1,0
299,7,10,8,1
610,4,25,3,1
189,5,5,7,1
245,2,2,2,0
484,2,1,3,0
153,1,1,1,0
675,9,26,2,1
192,2,3,2,0
959,5,21,5,1
630,6,22,4,1
699,3,5,3,1
868,7,5,7,1
231,4,0,1,0
288,10,21,3,1
51,2,1,0,0
699,4,11,10,1
247,1,3,0,0
611,4,21,5,1
241,2,5,4,1
317,5,8,4,1
302,7,15,0,1
290,1,3,6,0
259,0,1,6,0
268,2,2,1,0
446,1,0,2,0
208,0,0,0,0
135,3,23,9,1
911,3,18,8,1
93,0,0,4,0
792,6,28,7,1
141,9,5,1,1
127,2,15,7,1
241,1,5,1,0
151,0,0,2,0
349,10,25,6,1
884,9,30,10,1
685,3,24,10,1
199,2,2,0,0
592,7,3,3,1
130,8,18,8,1
177,2,2,1,0
100,7,21,6,1
987,1,2,1,1
203,2,3,1,0
217,2,1,2,0
193,0,0,2,0
40,1,5,0,0
396,5,7,9,1
244,2,2,2,0
331,0,3,2,0
400,3,29,8,1
818,4,11,4,1
50,2,23,7,1
148,0,0,2,0
472,9,20,1,1
206,0,2,2,0
115,4,10,0,0
519,6,8,6,1
523,7,18,7,1
368,1,4,1,0
79,0,3,2,0
128,5,4,3,1
124,9,7,5,1
259,8,21,9,1
869,2,18,1,1
166,0,1,3,0
935,4,10,8,1
144,1,4,0,0
98,2,2,0,0
99,2,2,2,0
27,1,6,2,0
106,2,5,10,1
378,2,2,1,0
183,0,2,0,0
48,0,0,1,0
374,3,17,3,1
637,4,7,9,1
177,10,6,3,1
157,8,0,10,1
284,2,3,4,0
160,9,20,0,1
488,8,20,1,1
49,1,2,1,0
780,3,7,8,1
139,0,3,1,0
172,3,1,1,0
59,1,0,1,0
612,0,22,3,1
52,3,0,2,0
287,2,0,0,0
114,0,2,0,0
181,1,4,3,0
217,1,2,1,0
206,5,3,1,0
658,6,27,10,1
999,3,2,9,1
429,0,3,2,0
380,2,5,2,0
128,2,8,3,1
205,0,1,2,0
135,3,17,9,1
275,1,1,2,0
242,4,0,1,0
736,2,25,5,1
258,1,1,1,0
959,3,28,4,1
463,8,7,8,1
399,9,21,2,1
296,3,17,0,1
929,7,19,1,1
149,1,7,2,0
294,0,2,6,0
73,0,3,1,0
173,2,18,6,1
250,5,5,2,0
285,2,3,1,0
274,1,1,0,0
167,5,3,4,0
167,0,8,1,0
295,0,2,1,0
652,3,26,1,1
229,2,3,0,0
633,2,19,8,1
67,8,23,7,1
74,1,1,1,0
161,1,3,1,0
999,6,11,6,1
196,1,1,2,0
59,0,1,2,0
245,4,8,1,0
97,2,3,0,0
307,7,7,3,1
732,4,11,1,1
127,2,26,7,1
292,1,3,1,0
905,4,5,8,1
